session_id,player_id,ping_ms,disconnected
S_9074,P_1028,37.5,0
S_9075,P_1050,27.6,0
S_9076,P_1003,74.6,0
S_9077,P_1054,30.0,0
S_9078,P_1070,57.5,0
S_9079,P_1091,64.3,0
S_9080,P_1027,16.5,0
S_9081,P_1003,41.1,0
S_9082,P_1021,32.2,0
S_9083,P_1075,31.0,0
S_9084,P_1044,48.3,1
S_9085,P_1066,30.7,0
S_9086,P_1085,32.6,0
S_9087,P_1065,37.5,0
S_9088,P_1087,34.4,0
S_9089,P_1033,22.4,0
S_9090,P_1090,51.9,0
S_9091,P_1054,55.7,0
S_9092,P_1000,45.2,0
S_9093,P_1071,34.4,0
S_9094,P_1086,29.4,0
S_9095,P_1037,29.4,1
S_9096,P_1005,75.4,0
S_9097,P_1085,54.1,0
S_9098,P_1024,27.4,0
S_9099,P_1081,42.5,0
S_9100,P_1016,34.6,1
S_9101,P_1060,48.8,0
S_9102,P_1011,48.2,0
S_9103,P_1005,56.3,0
S_9104,P_1089,27.2,0
S_9105,P_1026,41.6,0
S_9106,P_1007,13.8,0
S_9107,P_1082,21.1,0
S_9108,P_1064,53.3,0
S_9109,P_1056,25.7,1
S_9110,P_1092,27.4,0
S_9111,P_1098,39.9,0
S_9112,P_1039,50.4,0
S_9113,P_1013,24.1,0
S_9114,P_1034,10.0,1
S_9115,P_1047,26.9,0
S_9116,P_1083,58.1,0
S_9117,P_1055,45.1,0
S_9118,P_1048,59.9,0
S_9119,P_1012,23.0,0
S_9120,P_1060,15.4,0
S_9121,P_1048,46.9,0
S_9122,P_1045,43.6,0
S_9123,P_1061,44.6,0
S_9124,P_1007,54.0,0
S_9125,P_1042,46.3,1
S_9126,P_1019,46.1,0
S_9127,P_1096,50.7,0
S_9128,P_1089,47.5,0
S_9129,P_1038,52.9,0
S_9130,P_1084,55.1,0
S_9131,P_1048,63.0,1
S_9132,P_1063,30.3,0
S_9133,P_1061,47.2,0
S_9134,P_1053,34.4,0
S_9135,P_1008,27.5,0
S_9136,P_1087,29.7,0
S_9137,P_1036,47.4,0
S_9138,P_1048,46.3,0
S_9139,P_1040,46.0,0
S_9140,P_1016,36.6,0
S_9141,P_1087,40.1,0
S_9142,P_1020,52.3,0
S_9143,P_1050,17.7,0
S_9144,P_1058,40.4,0
S_9145,P_1038,41.3,0
S_9146,P_1054,51.3,0
S_9147,P_1040,19.7,0
S_9148,P_1038,62.4,0
S_9149,P_1012,43.2,0
S_9150,P_1063,44.0,0
S_9151,P_1010,34.0,0
S_9152,P_1018,48.1,0
S_9153,P_1010,40.7,0
S_9154,P_1076,58.1,0
S_9155,P_1045,18.4,0
S_9156,P_1044,42.6,0
S_9157,P_1000,46.1,0
S_9158,P_1039,37.2,0
S_9159,P_1018,33.9,0
S_9160,P_1075,34.6,0
S_9161,P_1071,42.6,0
S_9162,P_1071,12.9,0
S_9163,P_1060,54.5,0
S_9164,P_1011,32.8,0
S_9165,P_1060,41.9,0
S_9166,P_1032,45.5,0
S_9167,P_1044,32.1,0
S_9168,P_1089,38.0,0
S_9169,P_1091,10.0,0
S_9170,P_1068,51.0,0
S_9171,P_1007,56.2,0
S_9172,P_1024,14.5,1
S_9173,P_1090,33.9,0
S_9174,P_1045,21.6,0
S_9175,P_1086,37.3,0
S_9176,P_1029,49.7,0
S_9177,P_1046,54.8,0
S_9178,P_1086,56.8,0
S_9179,P_1048,59.7,0
S_9180,P_1046,36.7,0
S_9181,P_1083,22.8,0
S_9182,P_1081,38.3,0
S_9183,P_1017,49.5,1
S_9184,P_1065,21.6,0
S_9185,P_1067,64.9,0
S_9186,P_1093,53.5,0
S_9187,P_1032,36.9,1
S_9188,P_1035,29.3,0
S_9189,P_1081,30.0,0
S_9190,P_1018,41.1,0
S_9191,P_1027,36.6,0
S_9192,P_1039,54.3,0
S_9193,P_1083,34.9,0
S_9194,P_1096,47.6,0
S_9195,P_1075,39.6,0
S_9196,P_1014,44.0,0
S_9197,P_1040,36.5,0
S_9198,P_1038,50.6,0
S_9199,P_1001,50.8,0
S_9200,P_1062,46.9,0
S_9201,P_1028,49.1,1
S_9202,P_1073,25.8,0
S_9203,P_1065,44.8,0
S_9204,P_1050,58.7,0
S_9205,P_1074,47.4,1
S_9206,P_1076,24.5,0
S_9207,P_1009,39.3,0
S_9208,P_1013,45.6,0
S_9209,P_1081,28.6,0
S_9210,P_1050,19.6,0
S_9211,P_1072,35.3,0
S_9212,P_1038,28.9,0
S_9213,P_1027,39.8,1
S_9214,P_1002,16.1,0
S_9215,P_1083,48.5,0
S_9216,P_1069,30.5,0
S_9217,P_1026,54.9,0
S_9218,P_1001,35.8,0
S_9219,P_1092,39.6,0
S_9220,P_1037,37.4,0
S_9221,P_1002,29.7,0
S_9222,P_1015,77.1,1
S_9223,P_1093,32.6,0
S_9224,P_1039,55.4,0
S_9225,P_1001,23.6,1
S_9226,P_1080,45.6,0
S_9227,P_1040,47.2,0
S_9228,P_1011,39.6,0
S_9229,P_1034,31.4,0
S_9230,P_1064,36.1,0
S_9231,P_1054,34.0,0
S_9232,P_1044,76.0,0
S_9233,P_1078,39.7,0
S_9234,P_1089,47.9,0
S_9235,P_1084,66.7,0
S_9236,P_1061,26.9,0
S_9237,P_1048,40.6,1
S_9238,P_1094,36.0,0
S_9239,P_1024,38.7,0
S_9240,P_1022,37.3,0
S_9241,P_1023,29.0,0
S_9242,P_1037,42.9,1
S_9243,P_1027,24.1,0
S_9244,P_1020,54.8,0
S_9245,P_1053,49.3,0
S_9246,P_1017,32.6,0
S_9247,P_1035,33.3,0
S_9248,P_1098,44.1,0
S_9249,P_1044,28.0,0
S_9250,P_1072,67.2,0
S_9251,P_1052,45.4,0
S_9252,P_1029,45.9,0
S_9253,P_1059,50.2,0
S_9254,P_1097,31.3,0
S_9255,P_1031,56.3,0
S_9256,P_1066,41.7,0
S_9257,P_1066,54.3,0
S_9258,P_1027,37.0,0
S_9259,P_1043,59.8,0
S_9260,P_1078,46.0,0
S_9261,P_1040,72.7,0
S_9262,P_1062,34.5,0
S_9263,P_1022,43.1,0
S_9264,P_1074,24.5,0
S_9265,P_1047,32.1,0
S_9266,P_1031,49.3,0
S_9267,P_1056,56.9,0
S_9268,P_1099,84.5,0
S_9269,P_1032,38.6,0
S_9270,P_1023,26.0,0
S_9271,P_1038,51.3,0
S_9272,P_1033,23.1,0
S_9273,P_1055,48.5,0
S_9274,P_1027,32.5,1
S_9275,P_1036,43.2,0
S_9276,P_1006,56.4,0
S_9277,P_1067,38.3,0
S_9278,P_1036,54.0,1
S_9279,P_1055,53.1,0
S_9280,P_1064,12.0,0
S_9281,P_1064,26.5,0
S_9282,P_1046,16.6,0
S_9283,P_1019,70.0,0
S_9284,P_1018,38.4,0
S_9285,P_1028,66.7,0
S_9286,P_1073,15.5,0
S_9287,P_1059,31.4,1
S_9288,P_1017,52.0,0
S_9289,P_1091,42.7,0
S_9290,P_1034,48.0,0
S_9291,P_1042,21.2,0
S_9292,P_1094,60.7,0
S_9293,P_1090,51.7,0
S_9294,P_1010,46.0,0
S_9295,P_1048,29.7,0
S_9296,P_1037,44.9,0
S_9297,P_1063,35.6,0
S_9298,P_1068,15.2,0
S_9299,P_1007,39.2,0
S_9300,P_1033,37.6,0
S_9301,P_1047,55.9,0
S_9302,P_1055,10.0,1
S_9303,P_1075,43.5,0
S_9304,P_1064,22.7,0
S_9305,P_1030,44.8,0
S_9306,P_1003,45.6,0
S_9307,P_1049,38.7,0
S_9308,P_1068,52.1,0
S_9309,P_1029,21.3,0
S_9310,P_1087,56.6,0
S_9311,P_1058,29.4,0
S_9312,P_1066,16.7,1
S_9313,P_1074,35.9,0
S_9314,P_1044,10.0,0
S_9315,P_1003,43.8,0
S_9316,P_1025,36.1,0
S_9317,P_1026,58.5,0
S_9318,P_1045,49.7,0
S_9319,P_1063,19.1,0
S_9320,P_1090,27.4,0
S_9321,P_1050,47.8,0
S_9322,P_1049,52.7,0
S_9323,P_1005,58.3,0
S_9324,P_1058,58.2,0
S_9325,P_1014,38.7,0
S_9326,P_1029,45.4,0
S_9327,P_1041,59.5,0
S_9328,P_1036,35.5,0
S_9329,P_1041,45.7,0
S_9330,P_1034,35.1,0
S_9331,P_1086,31.7,0
S_9332,P_1005,40.7,0
S_9333,P_1067,29.7,0
S_9334,P_1017,38.0,0
S_9335,P_1072,24.5,0
S_9336,P_1028,37.2,0
S_9337,P_1076,46.7,0
S_9338,P_1058,31.2,1
S_9339,P_1046,40.1,0
S_9340,P_1016,42.1,0
S_9341,P_1095,46.8,0
S_9342,P_1021,38.0,1
S_9343,P_1067,56.3,0
S_9344,P_1068,10.0,0
S_9345,P_1036,84.1,0
S_9346,P_1048,26.9,0
S_9347,P_1012,46.1,0
S_9348,P_1033,25.9,0
S_9349,P_1085,49.7,0
S_9350,P_1052,44.1,0
S_9351,P_1086,30.2,0
S_9352,P_1050,56.1,0
S_9353,P_1002,37.5,0
S_9354,P_1041,48.2,0
S_9355,P_1097,26.2,0
S_9356,P_1031,39.5,0
S_9357,P_1050,70.1,0
S_9358,P_1084,54.4,0
S_9359,P_1045,44.6,0
S_9360,P_1020,33.3,0
S_9361,P_1043,41.0,0
S_9362,P_1010,43.0,0
S_9363,P_1067,46.7,0
S_9364,P_1000,23.9,0
S_9365,P_1091,50.0,0
S_9366,P_1062,23.7,0
S_9367,P_1023,64.5,0
S_9368,P_1098,28.4,0
S_9369,P_1012,44.4,0
S_9370,P_1097,55.1,0
S_9371,P_1010,36.2,0
S_9372,P_1099,45.1,0
S_9373,P_1050,61.5,0
S_9374,P_1016,48.5,0
S_9375,P_1098,45.3,0
S_9376,P_1081,14.7,0
S_9377,P_1085,26.0,0
S_9378,P_1023,55.7,0
S_9379,P_1018,48.5,0
S_9380,P_1036,50.8,0
S_9381,P_1084,49.5,0
S_9382,P_1007,59.3,0
S_9383,P_1027,36.1,1
S_9384,P_1004,41.8,0
S_9385,P_1016,24.6,0
S_9386,P_1035,20.8,0
S_9387,P_1018,15.3,0
S_9388,P_1063,26.7,0
S_9389,P_1090,63.3,0
S_9390,P_1097,16.7,0
S_9391,P_1010,35.4,0
S_9392,P_1053,20.6,0
S_9393,P_1044,31.0,0
S_9394,P_1046,42.5,0
S_9395,P_1011,29.5,0
S_9396,P_1020,56.3,0
S_9397,P_1010,63.0,0
S_9398,P_1091,10.0,0
S_9399,P_1004,29.8,0
S_9400,P_1080,40.9,0
S_9401,P_1055,56.9,0
S_9402,P_1019,33.2,0
S_9403,P_1040,39.7,0
S_9404,P_1045,22.6,0
S_9405,P_1011,17.0,0
S_9406,P_1069,61.7,0
S_9407,P_1016,12.6,0
S_9408,P_1018,74.9,0
S_9409,P_1025,50.9,0
S_9410,P_1047,50.2,0
S_9411,P_1051,48.6,0
S_9412,P_1095,36.2,0
S_9413,P_1069,45.9,0
S_9414,P_1054,37.2,0
S_9415,P_1099,48.3,0
S_9416,P_1074,39.5,0
S_9417,P_1032,25.7,0
S_9418,P_1061,26.9,0
S_9419,P_1087,25.2,0
S_9420,P_1022,54.6,0
S_9421,P_1014,30.7,0
S_9422,P_1026,11.3,0
S_9423,P_1074,46.0,0
S_9424,P_1063,62.7,0
S_9425,P_1080,51.6,0
S_9426,P_1050,31.0,0
S_9427,P_1052,16.2,0
S_9428,P_1077,38.0,0
S_9429,P_1090,37.6,0
S_9430,P_1081,25.5,0
S_9431,P_1091,48.3,0
S_9432,P_1050,67.7,0
S_9433,P_1046,43.3,0
S_9434,P_1003,42.4,0
S_9435,P_1006,25.9,0
S_9436,P_1034,61.0,0
S_9437,P_1047,38.9,0
S_9438,P_1072,31.3,0
S_9439,P_1071,41.0,0
S_9440,P_1044,47.1,1
S_9441,P_1080,42.1,0
S_9442,P_1080,58.1,0
S_9443,P_1096,45.8,0
S_9444,P_1095,35.7,0
S_9445,P_1071,46.0,0
S_9446,P_1018,47.5,0
S_9447,P_1062,20.6,1
S_9448,P_1037,57.2,0
S_9449,P_1066,35.5,0
S_9450,P_1058,35.9,0
S_9451,P_1068,51.3,0
S_9452,P_1012,51.2,0
S_9453,P_1046,29.5,0
S_9454,P_1060,52.0,0
S_9455,P_1030,31.6,0
S_9456,P_1079,67.3,0
S_9457,P_1095,27.6,0
S_9458,P_1021,43.6,0
S_9459,P_1092,28.3,0
S_9460,P_1085,73.3,0
S_9461,P_1042,21.4,0
S_9462,P_1066,47.9,0
S_9463,P_1053,29.0,0
S_9464,P_1009,34.7,0
S_9465,P_1041,46.8,0
S_9466,P_1063,58.4,0
S_9467,P_1020,64.4,0
S_9468,P_1079,16.9,0
S_9469,P_1075,44.0,0
S_9470,P_1065,61.9,0
S_9471,P_1040,14.7,0
S_9472,P_1023,44.7,0
S_9473,P_1034,40.0,0
S_9474,P_1055,46.2,0
S_9475,P_1029,28.4,0
S_9476,P_1056,18.5,0
S_9477,P_1093,11.3,0
S_9478,P_1046,54.6,0
S_9479,P_1034,56.6,0
S_9480,P_1018,44.5,0
S_9481,P_1007,32.0,0
S_9482,P_1025,15.7,0
S_9483,P_1070,48.5,0
S_9484,P_1029,23.5,0
S_9485,P_1006,29.3,0
S_9486,P_1066,31.2,0
S_9487,P_1064,37.0,0
S_9488,P_1035,28.6,0
S_9489,P_1024,40.5,0
S_9490,P_1036,30.7,0
S_9491,P_1000,50.5,0
S_9492,P_1014,55.5,0
S_9493,P_1036,41.6,0
S_9494,P_1012,46.9,0
S_9495,P_1007,71.8,0
S_9496,P_1004,22.4,0
S_9497,P_1059,21.5,0
S_9498,P_1072,50.4,0
S_9499,P_1000,69.2,0
S_9500,P_1035,36.1,0
S_9501,P_1034,65.9,0
S_9502,P_1065,41.4,0
S_9503,P_1062,29.8,0
S_9504,P_1022,25.1,0
S_9505,P_1008,49.4,0
S_9506,P_1033,26.3,0
S_9507,P_1045,41.2,0
S_9508,P_1077,63.8,0
S_9509,P_1003,35.4,0
S_9510,P_1029,59.7,1
S_9511,P_1094,21.8,0
S_9512,P_1074,32.0,0
S_9513,P_1098,18.9,0
S_9514,P_1071,41.1,0
S_9515,P_1002,51.7,0
S_9516,P_1013,41.1,0
S_9517,P_1059,58.4,0
S_9518,P_1076,28.8,0
S_9519,P_1044,43.4,0
S_9520,P_1095,32.1,0
S_9521,P_1033,45.4,0
S_9522,P_1044,47.6,0
S_9523,P_1060,48.7,0
S_9524,P_1082,23.9,0
S_9525,P_1015,26.7,0
S_9526,P_1065,29.4,0
S_9527,P_1039,36.4,0
S_9528,P_1016,41.3,0
S_9529,P_1033,50.6,0
S_9530,P_1015,27.3,0
S_9531,P_1059,16.0,0
S_9532,P_1065,72.3,0
S_9533,P_1065,23.0,0
S_9534,P_1089,52.5,0
S_9535,P_1012,40.5,0
S_9536,P_1055,43.8,0
S_9537,P_1030,40.0,0
S_9538,P_1033,34.2,0
S_9539,P_1038,47.0,0
S_9540,P_1066,33.4,0
S_9541,P_1007,57.5,1
S_9542,P_1086,48.5,0
S_9543,P_1077,49.0,0
S_9544,P_1054,32.4,0
S_9545,P_1026,36.5,0
S_9546,P_1092,22.2,0
S_9547,P_1052,34.7,0
S_9548,P_1038,24.5,1
S_9549,P_1064,59.7,0
S_9550,P_1016,40.8,0
S_9551,P_1029,42.6,0
S_9552,P_1052,36.6,0
S_9553,P_1012,43.0,1
S_9554,P_1020,77.0,0
S_9555,P_1018,35.5,0
S_9556,P_1052,30.2,0
S_9557,P_1018,47.9,0
S_9558,P_1056,10.0,0
S_9559,P_1024,41.0,0
S_9560,P_1085,34.4,0
S_9561,P_1030,25.1,0
S_9562,P_1080,47.6,0
S_9563,P_1054,40.8,0
S_9564,P_1022,13.0,0
S_9565,P_1031,30.3,0
S_9566,P_1061,10.0,0
S_9567,P_1073,44.4,0
S_9568,P_1009,44.2,0
S_9569,P_1099,28.1,0
S_9570,P_1071,48.1,0
S_9571,P_1053,20.8,0
S_9572,P_1051,25.5,0
S_9573,P_1019,46.3,0
S_9574,P_1031,29.7,0
S_9575,P_1013,39.1,0
S_9576,P_1049,31.5,0
S_9577,P_1027,33.8,1
S_9578,P_1052,34.5,0
S_9579,P_1023,29.4,0
S_9580,P_1078,44.5,0
S_9581,P_1021,30.6,0
S_9582,P_1029,40.2,0
S_9583,P_1062,29.1,0
S_9584,P_1003,17.0,1
S_9585,P_1076,53.7,1
S_9586,P_1058,47.5,0
S_9587,P_1086,74.3,0
S_9588,P_1007,24.3,0
S_9589,P_1081,36.9,1
S_9590,P_1011,38.1,1
S_9591,P_1030,54.8,0
S_9592,P_1077,32.4,0
S_9593,P_1033,22.4,0
S_9594,P_1081,58.1,0
S_9595,P_1097,35.3,0
S_9596,P_1074,53.2,0
S_9597,P_1075,51.4,0
S_9598,P_1048,39.6,0
S_9599,P_1078,37.4,0
S_9600,P_1056,34.1,1
S_9601,P_1094,39.8,0
S_9602,P_1092,52.9,0
S_9603,P_1025,28.1,0
S_9604,P_1017,41.6,0
S_9605,P_1095,23.2,0
S_9606,P_1085,25.1,0
S_9607,P_1037,39.5,0
S_9608,P_1080,10.6,0
S_9609,P_1086,70.9,0
S_9610,P_1087,22.1,0
S_9611,P_1049,39.4,0
S_9612,P_1007,57.5,0
S_9613,P_1040,27.1,0
S_9614,P_1005,10.0,0
S_9615,P_1068,33.3,0
S_9616,P_1043,26.9,0
S_9617,P_1063,10.0,0
S_9618,P_1028,44.3,0
S_9619,P_1027,43.1,0
S_9620,P_1010,57.1,0
S_9621,P_1064,23.2,0
S_9622,P_1018,16.0,1
S_9623,P_1008,33.9,0
S_9624,P_1026,38.7,0
S_9625,P_1033,53.8,0
S_9626,P_1043,61.2,0
S_9627,P_1067,58.2,0
S_9628,P_1099,44.1,0
S_9629,P_1081,52.0,1
S_9630,P_1014,30.4,0
S_9631,P_1050,42.5,0
S_9632,P_1012,22.1,0
S_9633,P_1082,40.9,0
S_9634,P_1048,41.3,0
S_9635,P_1069,65.8,0
S_9636,P_1055,36.6,0
S_9637,P_1075,41.4,0
S_9638,P_1050,43.6,0
S_9639,P_1036,33.2,0
S_9640,P_1016,28.0,0
S_9641,P_1057,59.5,0
S_9642,P_1086,25.3,0
S_9643,P_1089,20.1,0
S_9644,P_1028,50.2,0
S_9645,P_1032,57.4,0
S_9646,P_1059,33.2,0
S_9647,P_1090,33.5,0
S_9648,P_1088,44.2,1
S_9649,P_1054,29.4,0
S_9650,P_1009,28.3,0
S_9651,P_1046,53.2,0
S_9652,P_1022,49.1,1
S_9653,P_1084,59.7,0
S_9654,P_1020,21.2,0
S_9655,P_1012,32.5,0
S_9656,P_1032,44.2,0
S_9657,P_1023,26.1,0
S_9658,P_1010,49.6,1
S_9659,P_1016,58.4,0
S_9660,P_1067,31.2,0
S_9661,P_1046,40.6,1
S_9662,P_1024,61.8,0
S_9663,P_1093,67.0,0
S_9664,P_1072,51.2,0
S_9665,P_1020,48.9,0
S_9666,P_1083,27.2,0
S_9667,P_1082,45.4,0
S_9668,P_1082,48.4,0
S_9669,P_1011,36.8,0
S_9670,P_1036,31.1,0
S_9671,P_1041,20.8,0
S_9672,P_1016,13.9,1
S_9673,P_1047,10.8,0
S_9674,P_1027,48.7,1
S_9675,P_1040,42.2,0
S_9676,P_1098,32.7,0
S_9677,P_1046,35.0,0
S_9678,P_1017,43.2,0
S_9679,P_1077,37.5,0
S_9680,P_1098,19.9,0
S_9681,P_1070,53.7,0
S_9682,P_1012,44.6,0
S_9683,P_1081,44.0,0
S_9684,P_1012,52.6,0
S_9685,P_1099,27.8,0
S_9686,P_1030,58.2,0
S_9687,P_1001,37.9,0
S_9688,P_1015,53.3,0
S_9689,P_1008,51.0,0
S_9690,P_1072,24.4,0
S_9691,P_1037,47.5,0
S_9692,P_1074,44.9,0
S_9693,P_1053,40.5,0
S_9694,P_1055,38.6,0
S_9695,P_1085,38.7,0
S_9696,P_1096,52.2,0
S_9697,P_1099,48.7,0
S_9698,P_1086,40.5,0
S_9699,P_1044,17.6,0
S_9700,P_1033,47.4,0
S_9701,P_1008,50.9,0
S_9702,P_1087,74.5,0
S_9703,P_1007,56.1,0
S_9704,P_1006,11.5,0
S_9705,P_1035,41.2,0
S_9706,P_1017,67.2,0
S_9707,P_1002,49.4,0
S_9708,P_1027,44.9,0
S_9709,P_1069,53.5,0
S_9710,P_1043,30.7,0
S_9711,P_1020,47.2,0
S_9712,P_1027,36.2,0
S_9713,P_1053,39.7,0
S_9714,P_1053,52.4,0
S_9715,P_1064,26.1,0
S_9716,P_1099,59.3,0
S_9717,P_1020,33.7,0
S_9718,P_1098,43.9,0
S_9719,P_1012,19.0,1
S_9720,P_1056,50.8,0
S_9721,P_1048,61.7,0
S_9722,P_1053,32.3,0
S_9723,P_1009,23.3,0
S_9724,P_1052,44.2,0
S_9725,P_1043,61.8,0
S_9726,P_1046,18.3,0
S_9727,P_1052,23.4,0
S_9728,P_1073,33.2,0
S_9729,P_1045,27.7,0
S_9730,P_1012,27.7,0
S_9731,P_1036,10.0,0
S_9732,P_1023,48.8,0
S_9733,P_1001,45.1,0
S_9734,P_1085,14.5,0
S_9735,P_1080,61.9,0
S_9736,P_1099,65.2,1
S_9737,P_1013,28.7,0
S_9738,P_1009,57.5,0
S_9739,P_1034,31.4,0
S_9740,P_1024,42.7,0
S_9741,P_1002,27.5,0
S_9742,P_1016,73.2,0
S_9743,P_1011,35.6,0
S_9744,P_1053,41.9,0
S_9745,P_1023,29.7,0
S_9746,P_1028,67.9,0
S_9747,P_1042,68.3,0
S_9748,P_1024,64.5,0
S_9749,P_1099,54.3,0
S_9750,P_1059,30.6,0
S_9751,P_1089,52.4,0
S_9752,P_1064,39.9,0
S_9753,P_1083,59.7,0
S_9754,P_1027,56.7,1
S_9755,P_1015,30.3,1
S_9756,P_1046,54.2,0
S_9757,P_1080,50.2,0
S_9758,P_1091,10.0,0
S_9759,P_1057,52.0,0
S_9760,P_1075,33.5,0
S_9761,P_1026,26.7,0
S_9762,P_1052,27.4,0
S_9763,P_1041,38.0,0
S_9764,P_1058,47.2,0
S_9765,P_1046,19.5,0
S_9766,P_1093,42.8,0
S_9767,P_1033,48.7,0
S_9768,P_1036,67.9,0
S_9769,P_1005,23.8,0
S_9770,P_1006,34.8,0
S_9771,P_1095,43.9,0
S_9772,P_1095,57.2,0
S_9773,P_1024,35.4,0
S_9774,P_1032,58.0,0
S_9775,P_1054,10.9,0
S_9776,P_1057,21.2,0
S_9777,P_1006,45.2,0
S_9778,P_1056,18.8,0
S_9779,P_1011,22.4,0
S_9780,P_1015,32.1,0
S_9781,P_1079,51.6,0
S_9782,P_1042,11.6,1
S_9783,P_1099,42.6,0
S_9784,P_1076,55.5,0
S_9785,P_1006,37.1,0
S_9786,P_1099,34.5,0
S_9787,P_1050,46.0,0
S_9788,P_1072,37.1,0
S_9789,P_1031,60.9,0
S_9790,P_1074,23.3,0
S_9791,P_1007,39.2,0
S_9792,P_1096,43.1,0
S_9793,P_1086,34.3,0
S_9794,P_1088,10.0,0
S_9795,P_1071,37.6,1
S_9796,P_1044,53.5,0
S_9797,P_1085,51.7,0
S_9798,P_1058,45.3,0
S_9799,P_1003,23.5,0
S_9800,P_1066,45.9,0
S_9801,P_1028,31.4,0
S_9802,P_1028,45.3,0
S_9803,P_1097,41.8,0
S_9804,P_1097,25.4,0
S_9805,P_1027,26.6,0
S_9806,P_1076,45.3,0
S_9807,P_1078,36.7,0
S_9808,P_1086,27.4,0
S_9809,P_1043,26.2,0
S_9810,P_1089,35.4,0
S_9811,P_1003,63.5,0
S_9812,P_1089,32.1,0
S_9813,P_1008,39.8,0
S_9814,P_1004,41.5,0
S_9815,P_1055,23.0,0
S_9816,P_1095,13.6,0
S_9817,P_1083,24.6,0
S_9818,P_1049,43.7,0
S_9819,P_1074,41.3,0
S_9820,P_1014,50.5,0
S_9821,P_1031,41.5,0
S_9822,P_1027,38.4,0
S_9823,P_1021,30.9,0
S_9824,P_1016,53.3,0
S_9825,P_1058,26.2,0
S_9826,P_1089,23.3,0
S_9827,P_1070,48.5,0
S_9828,P_1056,20.0,0
S_9829,P_1025,76.2,0
S_9830,P_1024,41.2,0
S_9831,P_1009,45.2,0
S_9832,P_1044,27.9,1
S_9833,P_1082,35.3,0
S_9834,P_1010,33.6,0
S_9835,P_1076,31.9,0
S_9836,P_1052,49.5,0
S_9837,P_1071,33.3,0
S_9838,P_1067,55.3,0
S_9839,P_1094,79.9,0
S_9840,P_1027,35.6,0
S_9841,P_1074,42.3,0
S_9842,P_1064,45.7,1
S_9843,P_1048,67.2,0
S_9844,P_1046,38.8,1
S_9845,P_1051,27.6,0
S_9846,P_1087,21.0,0
S_9847,P_1053,39.1,0
S_9848,P_1059,33.3,0
S_9849,P_1056,70.2,0
S_9850,P_1046,66.5,1
S_9851,P_1030,24.5,0
S_9852,P_1045,29.3,0
S_9853,P_1025,41.1,0
S_9854,P_1004,61.0,0
S_9855,P_1083,40.9,1
S_9856,P_1051,30.3,0
S_9857,P_1074,39.1,0
S_9858,P_1053,30.6,0
S_9859,P_1032,49.0,0
S_9860,P_1049,29.4,1
S_9861,P_1037,32.3,0
S_9862,P_1026,57.4,0
S_9863,P_1097,28.5,0
S_9864,P_1014,18.3,0
S_9865,P_1095,41.4,0
S_9866,P_1060,34.6,0
S_9867,P_1020,47.7,0
S_9868,P_1045,44.8,1
S_9869,P_1068,39.5,0
S_9870,P_1005,39.1,0
S_9871,P_1037,29.0,1
